REGION_NORM,Región,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AMAZONAS,Amazonas,47.97833174476955,47.17225457002989,44.03731018378546,43.63350717376224,43.282349616711286,42.77850343799112,44.754450415058365,45.447817793089975,45.12461938367176,47.098437839291655,45.35345779330983,43.96702976401636
ANCASH,Áncash,34.20388293221686,32.627511619846835,31.238624443844742,29.988558758232365,29.044300396735533,30.001318952091943,30.237829301007917,31.99013068601634,32.035011967023465,33.64533918114832,33.655279669928596,32.562614851738594
APURIMAC,Apurímac,42.21162095479604,40.20283023520253,37.06652849574297,36.98364772062982,35.30948487884572,34.30482746042012,33.811209957236414,35.950662969322046,34.51044963688752,34.95542135890079,34.23691602127612,31.839643284897917
AREQUIPA,Arequipa,21.760746335781654,21.825299814989492,19.760593921198925,19.26771194833905,19.553233577603486,19.868055909147255,20.186395620092753,20.040423811748358,20.933619347370833,21.32221990816244,22.439024284669294,21.11985311075701
AYACUCHO,Ayacucho,42.05156627877907,42.41283654455103,38.72835613593182,35.5403510252659,38.86170555711208,32.96839557610285,36.74367067940345,36.401941285229036,35.83977540670841,36.103582950024155,35.59856355542747,35.81149915243339
CAJAMARCA,Cajamarca,44.51831400649553,40.77491882440204,40.48672852899121,38.73927344711973,39.022486703359036,39.64991135518658,41.75047197469949,39.88475753399949,43.44783586951405,43.94529185143023,41.4505739579839,40.907965748122784
CALLAO,Callao,22.324820148448214,23.0131151354995,22.55036850069686,20.806287350371573,21.149380988627982,20.743443464597902,21.579149109017802,22.586846897404705,22.15301042199111,24.37816847537932,21.997032514309094,21.93743860863854
CUSCO,Cusco,37.522231362358376,36.478735437151514,34.87297125171149,33.05725923229995,32.77393599293003,31.39144880298136,31.01725546655739,34.72639948946914,33.5147190614271,33.519997576511145,34.08258360689128,30.341305328930947
HUANCAVELICA,Huancavelica,44.11312824216389,44.0427958764533,40.81121793679943,39.158246987499815,39.01024873711232,37.495042037515184,39.3956113543378,39.9938871075946,38.55898482827951,38.4470277411509,36.73114736919834,35.3638823535516
HUANUCO,Huánuco,56.24761536866972,53.65450934345033,50.196649305591365,46.778122541025894,48.68817656563728,47.09586105487422,47.528144807834686,43.264516115068815,45.25244537520439,46.97363353911332,44.36588334180715,45.18344511959113
ICA,Ica,22.81972092311383,23.980232101580924,20.124620591080987,21.102590148060386,20.778298686520582,20.126527168302314,20.059806875482387,22.684471052680095,21.190756695712025,26.24924247793647,23.323499040854976,21.825487289689395
JUNIN,Junín,32.875051650421625,31.963575240302838,32.27105484074351,29.431704695443994,31.422620901859684,31.57579710847505,34.13726313398489,33.85678747155411,36.86774962082422,36.63155690143608,35.18204994323512,34.330913170149344
LA LIBERTAD,La Libertad,35.433084634404786,34.94894975477912,33.1192697616027,30.5045965557108,32.25790477800244,31.619634918125268,32.73510322448093,32.767098339107214,31.837884979700814,34.50823379581469,32.94449721617605,33.399914398800895
LAMBAYEQUE,Lambayeque,33.01823271133104,34.26044665361781,30.587481696592917,29.50267197815524,31.058070418111143,30.222291417557802,30.669485383568805,30.587514712571302,32.434363181668715,35.21773550785535,34.018617957112966,33.726778221583146
LIMA,Lima,21.735627414477136,23.484803847662413,23.245134035950155,22.26991451091738,23.168552460523266,22.023101197362774,23.08745799514247,24.123482182626084,25.2180686931964,28.171224032282844,28.23513118750635,27.71066286043663
LORETO,Loreto,67.2217635979715,67.45633478522088,66.95598186254205,63.939572983569505,64.18168977235503,65.38671689846359,64.320735566811,65.27361131305001,64.41613361660943,61.91058980254054,59.070126987366145,58.59635419902145
MADRE DE DIOS,Madre de Dios,46.59237838581027,48.21114023274572,46.86448237943658,44.821408047837224,43.47885286377235,41.452337056606154,45.36013228733945,45.767164696616675,47.42479028600162,48.27411955578095,44.921423691329984,46.11518899438218
MOQUEGUA,Moquegua,19.275637939120823,16.945391776123568,15.625786546252598,16.097963044228177,16.419376426430766,16.156615568680152,17.03681057700303,17.355775922419696,19.548902049430644,18.103253901430026,17.945839304745782,17.66345002795241
PASCO,Pasco,43.72605542140901,41.37429457509636,39.407110700323585,36.52954477314304,34.689506173342565,36.33011461456919,38.61489500382909,41.18385988714563,38.99902167880535,41.89658397749022,39.51924373270299,40.48168221398662
PIURA,Piura,38.35595532863377,36.877413513083354,37.31602134188456,35.73347947367697,36.23158356190187,35.57275291784362,36.76391285297926,38.39683877099708,37.88545802664867,42.93410316248233,39.538293274526886,37.537301011424404
PUNO,Puno,41.30455536767598,41.08316817082439,41.47157404179793,38.40349778348214,39.08366044295448,38.06506862990825,35.12186275274401,34.49233894453927,35.577631638650516,38.05410758402145,35.916111421435396,35.56058053254434
SAN MARTIN,San Martín,48.36872681987127,46.308314051046665,44.07818511631778,41.07887820020491,41.51980452068719,40.67487116525611,41.89608635883329,41.29193048513697,40.73565271521288,44.81449976729295,41.94599348067618,40.598406138936255
TACNA,Tacna,21.205429047230446,21.483873322391233,17.65166913658882,17.658620254598638,18.443055002115923,16.576212163990313,19.985871230743545,18.14282464712545,21.36282739419241,24.466327031700317,23.415728540723954,22.79247641637496
TUMBES,Tumbes,33.923758480572815,34.21479203337089,34.85832227172641,32.91377717761118,32.80533127342709,34.58014123548981,37.60169812841458,36.862983793216294,37.0877709871313,38.023792881843434,37.26624538852478,37.949124587628404
UCAYALI,Ucayali,62.57990247481151,61.49612424132661,58.513767027476845,56.16123127383796,57.0233826411127,54.49686056411915,55.05606566633594,53.68945041721736,57.491256828316786,56.697525469472176,52.28900441567754,53.55184966789691
