REGION,n_hogares_muestra,poblacion_hogares_estimada,tasa_pobreza_total,tasa_pobreza_extrema,tasa_pension65,tasa_hogares_con_65mas,tasa_nbi1,tasa_nbi2,tasa_nbi3,tasa_algun_miembro_sin_seguro,gasto_salud_promedio,REGION_NORM,beneficiarios_padron,poblacion_65mas_estimada,tasa_cobertura_real,razon_subreporte,REGION_NORM_ceplan,indice_vulnerabilidad_ceplan
CAJAMARCA,1469,500590.6196627618,0.3959736475293201,0.16551195438891012,0.193376630602402,0.30982941537115827,0.024491264218078387,0.06019575336713754,0.043938865826467076,0.1198425836125574,1618.4946478274828,CAJAMARCA,91764,209266.47281932837,0.43850311406177844,2.267611720691195,CAJAMARCA,40.907965748122784
PUNO,1123,527614.0145580767,0.3502510414169198,0.11161833667600075,0.19612520840550432,0.317433130632901,0.04607131440114556,0.07343354313441465,0.10286572957551385,0.34894720627135983,1866.5095239741167,PUNO,74253,225058.6474368572,0.3299273360328558,1.6822280966080863,PUNO,35.56058053254434
LORETO,1359,266202.47125935566,0.33714472739306794,0.10442168051460261,0.15729096549325805,0.2689466288136386,0.24198425290834985,0.09614397508610789,0.3254377162427431,0.20071196377836595,1657.5979971831284,LORETO,40520,91430.75578093535,0.4431769119035218,2.817561139088549,LORETO,58.59635419902145
HUANUCO,1244,293242.42657065403,0.3258893599578322,0.09995590604588919,0.19332242933681315,0.32326221684318673,0.04631581403378352,0.04991726332539904,0.15035532323432943,0.11579080320770356,1541.6632186479192,HUANUCO,38412,124302.79888880257,0.3090195904145504,1.5984673453289042,HUANUCO,45.18344511959113
PASCO,865,101154.2847776413,0.32531452211486434,0.06921771662512416,0.11563917836263324,0.2556977189807725,0.029730467704736106,0.057212818970422914,0.13743186893448606,0.12130068078327977,1880.360328292335,PASCO,9607,32828.18236541748,0.2926448955675474,2.530672560210013,PASCO,40.48168221398662
HUANCAVELICA,1042,169785.05498218542,0.2907416099779756,0.09891980581129634,0.23791872174064346,0.329739499393472,0.023884004933987558,0.04124186202793826,0.15360578828094582,0.051354986736460086,1214.8987763100336,HUANCAVELICA,29783,73294.39667403701,0.4063475702304266,1.7079259978262173,HUANCAVELICA,35.3638823535516
AYACUCHO,1160,258207.65415191633,0.2745211393396085,0.07192118397045025,0.20374944939184578,0.3161060681307673,0.05194874828282565,0.04541728415919139,0.07147676765714422,0.10305655619122013,1520.0781680946777,AYACUCHO,42274,106087.0118827819,0.3984842182821547,1.9557560497540287,AYACUCHO,35.81149915243339
PIURA,1611,535412.0553798673,0.25795940267328826,0.03695925878004487,0.1105667894517404,0.2776654688311932,0.13286268502362975,0.01489227323963527,0.07622096403377313,0.19074087862917966,2729.454357283715,PIURA,65267,195663.38600540155,0.3335677733707328,3.0168893844595774,PIURA,37.537301011424404
CALLAO,1027,330383.14137268066,0.25624317570997857,0.03277878978570186,0.03306436193849818,0.347673929574614,0.03311610844097471,0.028854534520751988,0.013837946266627772,0.17974685143706617,3295.611251134287,CALLAO,7352,148937.0505447388,0.049363136795780395,1.492940855401927,CALLAO,21.93743860863854
LA LIBERTAD,1509,616447.7033443451,0.2351814676771702,0.0500044303173882,0.07144433803130625,0.3289302372113941,0.00758388500977613,0.02934897860795151,0.04109212013320646,0.21092221649953097,3035.9214449662873,LA LIBERTAD,42260,254208.53199195865,0.16624146982343144,2.326866962509835,LA LIBERTAD,33.399914398800895
LIMA,4544,3332799.2177124023,0.2042427851640731,0.021597473355865413,0.023126516290127415,0.33277166261291885,0.03654770085049326,0.03362941489269041,0.014035319693949357,0.25304463932090726,3250.8814984093697,LIMA,66310,1501910.0958175664,0.044150445612328136,1.9090832816517083,LIMA,27.71066286043663
AMAZONAS,1243,139724.42677307135,0.1998445068030214,0.04170097670016398,0.1513938590019857,0.3032234978665045,0.15613500027820792,0.07437114840763569,0.06458687191286135,0.10497983538630258,2451.0221440946866,AMAZONAS,20921,55512.4758834839,0.3768702380328244,2.489336360914621,AMAZONAS,43.96702976401636
UCAYALI,1119,146009.9131412506,0.19203136884994224,0.020843197245093384,0.09764857135913481,0.20131720037147452,0.19394751524764742,0.107877104561969,0.11396389827674668,0.3113757384458068,2026.8825306131964,UCAYALI,19394,36979.027296066284,0.524459441421356,5.370886989144814,UCAYALI,53.55184966789691
TACNA,1271,128141.54345512392,0.19173153843637997,0.026343247951107568,0.04038315622496652,0.23833164820389452,0.05288764023499063,0.018682759461668613,0.01242877596341274,0.30515621313186175,1846.5334279014523,TACNA,4053,40329.89767122269,0.10049616374038087,2.488566351291037,TACNA,22.79247641637496
ANCASH,1393,364492.6871428492,0.19143513811945623,0.04555539516744809,0.14022496960276645,0.3288701257825305,0.06974752736732104,0.02016975298022188,0.06692087156986994,0.13423706055967402,2386.518329541873,ANCASH,49197,155590.08724117294,0.3161962363562534,2.254921054730721,ANCASH,32.562614851738594
TUMBES,842,77672.08507347104,0.18998612920804211,0.00728199655335372,0.08843542899918856,0.2303059578153906,0.16398945707282872,0.014218844271155294,0.04745443945772914,0.1344546124677287,2254.969139592363,TUMBES,6920,23706.02390956878,0.29190892687857234,3.3008142797752553,TUMBES,37.949124587628404
APURIMAC,913,169995.91007614142,0.1897733919334948,0.04187171515784622,0.24671890625635168,0.3368589305421162,0.01564206880969849,0.0262653070858838,0.042261914086486066,0.09182664518571314,1602.7751515378527,APURIMAC,33620,73203.46050262456,0.4592679057678513,1.8615026822899903,APURIMAC,31.839643284897917
SAN MARTIN,1347,270254.4819793701,0.1705577059123183,0.030075091197781206,0.11449021185970533,0.24005041395227877,0.2193027112818779,0.06575329362411912,0.038416033778582194,0.2018586529307273,2377.038424006281,SAN MARTIN,36523,88027.25257110597,0.414905599495994,3.6239394858000034,SAN MARTIN,40.598406138936255
CUSCO,1230,439251.69843864447,0.1515545942148196,0.014002149203010943,0.15821007150490515,0.33034321664993865,0.020884961090990268,0.043651213878181855,0.03438870182746578,0.12103442234027108,1949.5477455475846,CUSCO,57322,193853.25455284122,0.2956978985584942,1.8690206997936056,CUSCO,30.341305328930947
JUNIN,1506,466169.06898689264,0.1465570009754619,0.02670832572391055,0.101745711892681,0.30685740408522816,0.06724473690461881,0.06270739322027129,0.08194009537363035,0.10323962371207979,2237.7980110327094,JUNIN,40537,191918.81805992126,0.21121951671953013,2.0759549743218617,JUNIN,34.330913170149344
AREQUIPA,1506,445156.56407165533,0.12926769272397798,0.013808992936443516,0.03134225733440913,0.2913106447738652,0.027759954720161264,0.030388851608646513,0.017624099798694223,0.3137284843178118,2834.505271794615,AREQUIPA,15661,172252.76365852356,0.090918715423612,2.9008349479600755,AREQUIPA,21.11985311075701
MOQUEGUA,963,72954.99790334702,0.09434787662430817,0.025003197210558156,0.08040955180093955,0.2777990762335438,0.0675069963134036,0.01827691390650545,0.03636071596764638,0.1974273340334109,2183.136519663986,MOQUEGUA,4079,26562.310688972473,0.15356344738838648,1.9097662398186899,MOQUEGUA,17.66345002795241
LAMBAYEQUE,1302,400442.88261032116,0.09240146018141528,0.003545298522181631,0.06611565705241189,0.36371303779711006,0.012451508408438776,0.02367223275184603,0.01681340221878382,0.10325552402214715,3426.3289847480214,LAMBAYEQUE,27124,194846.78677368173,0.13920681192194895,2.1055044769742737,LAMBAYEQUE,33.726778221583146
MADRE DE DIOS,603,49150.367439270034,0.07661299274621634,0.010155928099366903,0.03323348200469775,0.14509269155591684,0.08774092966222699,0.12950012090916632,0.04879734656270741,0.3016720156391652,2125.3278470210325,MADRE DE DIOS,2386,8372.0271935463,0.28499668537140954,8.57558908004655,MADRE DE DIOS,46.11518899438218
ICA,1500,259555.91042482847,0.04041907292150217,0.0009743639871223022,0.03580905223284879,0.2715621325874192,0.053773764961368355,0.027983216973665764,0.021870216634124275,0.2868846155589767,2810.826086351678,ICA,9169,92319.52852129936,0.09931809820589138,2.7735472461006303,ICA,21.825487289689395
